NCT number:Possible RCT
No NCT number:NA
No NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Not RCT
NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Not RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:NA
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Not RCT
No NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:NA
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Not RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:NA
NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:NA
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Not RCT
No NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Not RCT
No NCT number:Not RCT
No NCT number:Possible RCT
No NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Not RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Possible RCT
NCT number:Possible RCT
NCT number:RCT
NCT number:RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Not RCT
No NCT number:Possible RCT
No NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Not RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
NCT number:Possible RCT
No NCT number:Possible RCT
No NCT number:Not RCT
